Player,#,Pos,HT,WT,Age,Exp,College,Team,Division,Popularity
"
Malik Turner",17,WR,6-2,202,26,5,Illinois,Cowboys,,
"
Brent Urban",95,DE,6-7,295,30,9,Virginia,Cowboys,,
"
Jonathan Allen",93,DT,6-3,300,27,6,Alabama,Commanders,,
"
Troy Apke",30,S,6-1,205,27,5,Penn State,Commanders,,
Alex Armah,40,RB,6-1,255,27,6,West Georgia,Commanders,,
"
David Bada",64R,DL,6-4,293,26,1,,Commanders,,
"
Zack Bailey",61,G,6-5,299,26,2,South Carolina,Commanders,,
"
John Bates",87,TE,6-6,259,24,2,Boise State,Commanders,,
"
Beau Benzschawel",63,G,6-6,300,26,2,Wisconsin,Commanders,,
Reggie Bonnafon,39,RB,6-0,215,26,3,Louisville,Commanders,,
"
Will Bradley-King",56,DE,6-3,254,24,1,Baylor,Commanders,,
"
Dyami Brown",2,WR,6-0,195,22,2,North Carolina,Commanders,,
"
Deion Calhoun",68,G,6-3,310,26,2,Mississippi State,Commanders,,
Dylan Cantrell,45W,TE,6-3,226,27,3,Texas Tech,Commanders,,
"
Saahdiq Charles",77,T,6-4,322,22,3,LSU,Commanders,,
"
Camaron Cheeseman",54,LS,6-4,237,23,2,Michigan,Commanders,,
Tyler Clark,68R,DT,6-4,300,23,1,Georgia,Commanders,,
"
Sam Cosmi",76,OL,6-6,309,23,2,Texas,Commanders,,
"
Kamren Curl",31,S,6-2,198,23,3,Arkansas,Commanders,,
"
Jamin Davis",52,LB,6-3,234,23,2,Kentucky,Commanders,,
"
Milo Eifler",46,LB,6-2,225,24,1,Illinois,Commanders,,
"
Corn Elder",37,CB,5-10,185,27,6,Miami,Commanders,,
"
Darrick Forrest",48,S,5-11,200,22,2,Cincinnati,Commanders,,
"
Kendall Fuller",29,CB,5-11,198,27,7,Virginia Tech,Commanders,,
"
Antonio Gandy-Golden",18,WR,6-4,223,24,3,Liberty,Commanders,,
"
Antonio Gibson",24,RB,6-2,220,23,3,Memphis,Commanders,,
"
Kelvin Harmon",84,WR,6-2,215,25,2,N.C. State,Commanders,,
D.J. Hayden,14,CB,5-11,190,31,9,Houston,Commanders,,
"
Taylor Heinicke",4,QB,6-1,210,29,5,Old Dominion,Commanders,,
"
Cole Holcomb",55,LB,6-1,240,25,4,North Carolina,Commanders,,
"
Khaleke Hudson",47,LB,6-0,220,24,3,Michigan,Commanders,,
"
Keith Ismael",60,C,6-3,310,23,3,San Diego State,Commanders,,
"
William Jackson III",23,CB,6-0,189,29,7,Houston,Commanders,,
"
Jalen Jelks",57,DE,6-5,256,25,3,Oregon,Commanders,,
"
Brian Johnson",16,K,6-1,185,23,2,Virginia Tech,Commanders,,
"
Tyler Larsen",69,C,6-4,335,30,7,Utah State,Commanders,,
"
Nolan Laufenberg",74,G,6-3,312,23,1,Air Force,Commanders,,
"
Charles Leno Jr.",72,OT,6-3,302,30,9,Boise State,Commanders,,
"
David Mayo",51,LB,6-2,240,28,8,Texas State-San Marcos,Commanders,,
"
Bobby McCain",20,CB,5-9,196,28,8,Memphis,Commanders,,
"
J.D. McKissic",41,RB,5-10,195,28,6,Arkansas State,Commanders,,
"
Terry McLaurin",17,WR,6-0,210,26,4,Ohio State,Commanders,,
"
Marken Michel",19,WR,5-11,191,28,1,UMass Amherst,Commanders,,
"
Dax Milne",15,WR,6-0,190,22,2,BYU,Commanders,,
Andrew Norwell,68,G,6-6,310,30,9,Ohio State,Commanders,,
Efe Obada,,DE,6-6,265,30,5,,Commanders,,
"
Jaret Patterson",32,RB,5-8,195,22,2,Buffalo,Commanders,,
"
Daron Payne",94,DT,6-3,320,24,5,Alabama,Commanders,,
"
Jeremy Reaves",39,DB,5-11,200,25,3,South Alabama,Commanders,,
"
Sammis Reyes",80,TE,6-5,260,26,2,Loyola University,Commanders,,
"
Bunmi Rotimi",57,DE,6-3,273,26,2,Old Dominion,Commanders,,
"
Chase Roullier",73,C,6-4,312,28,6,Wyoming,Commanders,,
"
Curtis Samuel",10,WR,5-11,195,25,6,Ohio State,Commanders,,
"
Wes Schweitzer",71,G,6-4,300,28,7,San Jose State,Commanders,,
"
Cam Sims",11,WR,6-5,220,26,5,Alabama,Commanders,,
"
Joey Slye",3,K,5-11,213,26,4,Virginia Tech,Commanders,,
"
James Smith-Williams",96,DE,6-4,265,24,3,North Carolina State,Commanders,,
"
Benjamin St-Juste",25,DB,6-3,200,24,2,Minnesota,Commanders,,
"
Montez Sweat",90,DE,6-6,262,25,4,Mississippi State,Commanders,,
"
Logan Thomas",82,TE,6-6,250,30,8,Virginia Tech,Commanders,,
"
Shaka Toney",58,DE,6-2,238,24,2,Penn State,Commanders,,
"
Casey Toohill",95,DE,6-5,254,25,3,Stanford,Commanders,,
"
Jon Toth",61,C,6-5,308,28,2,Kentucky,Commanders,,
"
Tress Way",5,P,6-1,220,31,9,Oklahoma,Commanders,,
Carson Wentz,11,QB,6-5,237,29,7,North Dakota State,Commanders,,
"
Jonathan Williams",35,RB,6-0,217,28,6,Arkansas,Commanders,,
"
Daniel Wise",92,DT,6-3,285,26,2,Kansas,Commanders,,
"
Chase Young",99,DE,6-5,264,23,3,Ohio State,Commanders,,
"
Alex Bachman",81,WR,6-0,190,25,1,Wake Forest,Giants,,
"
Saquon Barkley",26,RB,6-0,232,25,5,Penn State,Giants,,
"
C.J. Board",18,WR,6-1,181,28,4,Tennessee-Chattanooga,Giants,,
"
James Bradberry",24,CB,6-1,212,28,7,Samford,Giants,,
"
Ben Bredeson",68,G,6-5,315,24,3,Michigan,Giants,,
"
Matt Breida",31,RB,5-10,190,27,6,Georgia Southern,Giants,,
"
Gary Brightwell",37,RB,6-1,218,23,2,Arizona,Giants,,
"
Cam Brown",47,LB,6-5,233,24,3,Penn State,Giants,,
"
TJ Brunson",35,LB,6-1,230,24,3,South Carolina,Giants,,
Omari Cobb,44,LB,6-4,223,24,1,Marshall,Giants,,
"
Carter Coughlin",52,LB,6-3,236,24,3,Minnesota,Giants,,
"
Tae Crowder",48,LB,6-1,235,25,3,Georgia,Giants,,
"
Korey Cunningham",79,T,6-6,311,26,5,Cincinnati,Giants,,
"
Jamil Douglas",77,OL,6-4,310,30,5,Arizona State,Giants,,
"
Justin Ellis",71,DT,6-2,334,31,9,Louisiana Tech,Giants,,
"
Jon Feliciano",76,OL,6-4,325,30,8,Miami,Giants,,
"
Robert Foster",,WR,6-2,196,27,4,Alabama,Giants,,
"
Graham Gano",5,K,6-2,202,35,13,Florida State,Giants,,
"
Max Garcia",,OL,6-4,309,30,8,Florida,Giants,,
"
Nick Gates",65,C,6-6,318,26,5,Nebraska,Giants,,
"
Jamie Gillan",17,P,6-1,207,24,4,University of Arkansas at Pine Bluff,Giants,,
"
Mark Glowinski",64,OL,6-4,310,29,8,West Virginia,Giants,,
"
Kenny Golladay",19,WR,6-4,213,28,6,Northern Illinois,Giants,,
"
Matt Gono",73,T,6-4,305,25,4,Wesley,Giants,,
Devery Hamilton,62,OL,6-6,311,23,1,Duke,Giants,,
"
Trent Harris",93,LB,6-2,255,26,4,Miami (Fla.),Giants,,
"
Jake Hausmann",49,TE,6-4,255,24,1,Ohio State,Giants,,
"
Justin Hilliard",46,LB,6-1,231,25,2,Ohio State,Giants,,
"
Darnay Holmes",30,CB,5-10,195,23,3,UCLA,Giants,,
"
Adoree' Jackson",22,CB,5-11,185,26,6,USC,Giants,,
"
Richie James",80,WR,5-9,185,26,5,Middle Tennessee State,Giants,,
"
Rysen John",44,TE,6-7,220,24,2,Simon Fraser (Canada),Giants,,
"
Collin Johnson",15,WR,6-6,220,24,3,Texas,Giants,,
"
Raymond Johnson III",91,DL,6-3,270,23,2,Georgia Southern,Giants,,
"
Daniel Jones",8,QB,6-5,230,24,4,Duke,Giants,,
"
Casey Kreiter",58,LS,6-1,250,31,7,Iowa,Giants,,
"
Niko Lalos",57,LB,6-5,270,24,2,Dartmouth,Giants,,
"
Dexter Lawrence",97,DL,6-4,342,24,4,Clemson,Giants,,
"
Shane Lemieux",66,G,6-4,310,24,3,Oregon,Giants,,
Brian Lewerke,6,QB,6-3,216,25,1,Michigan State,Giants,,
"
Julian Love",20,S,5-11,195,24,4,Notre Dame,Giants,,
"
Wes Martin",63,OL,6-3,315,25,4,Indiana,Giants,,
"
Blake Martinez",54,LB,6-2,237,28,7,Stanford,Giants,,
"
Xavier McKinney",29,S,6-0,201,23,3,Alabama,Giants,,
"
David Moa",96,DL,6-3,296,25,1,Boise State,Giants,,
"
Chris Myarick",85,TE,6-5,261,26,2,Temple,Giants,,
"
Azeez Ojulari",51,LB,6-3,240,21,2,Georgia,Giants,,
"
Matt Peart",74,T,6-7,318,24,3,Connecticut,Giants,,
"
Sandro Platzgummer",,RB,6-0,198,25,1,,Giants,,
"
Austin Proehl",87,WR,5-10,175,26,1,North Carolina,Giants,,
"
Aaron Robinson",33,CB,6-0,193,23,2,UCF,Giants,,
"
Quincy Roche",95,LB,6-3,245,24,2,Miami,Giants,,
"
Ricky Seals-Jones",83,TE,6-5,243,27,6,Texas A&M,Giants,,
"
Sterling Shepard",3,WR,5-10,196,29,7,Oklahoma,Giants,,
"
David Sills V",84,WR,6-3,211,25,2,West Virginia,Giants,,
"
Darius Slayton",86,WR,6-1,194,25,4,Auburn,Giants,,
"
Elerson Smith",94,LB,6-7,245,23,2,Northern Iowa,Giants,,
"
Tyrod Taylor",2,QB,6-1,215,32,12,Virginia Tech,Giants,,
"
Andrew Thomas",78,T,6-5,315,23,3,Georgia,Giants,,
"
Travis Toivonen",13,WR,6-4,212,23,1,North Dakota,Giants,,
"
Kadarius Toney",89,WR,6-0,193,23,2,Florida,Giants,,
"
Jihad Ward",55,LB,6-5,297,27,7,Illinois,Giants,,
"
Davis Webb",12,QB,6-5,230,27,3,California,Giants,,
"
Antonio Williams",21,RB,5-11,215,24,1,North Carolina,Giants,,
"
Jarren Williams",34,CB,5-11,190,24,2,Albany,Giants,,
"
Leonard Williams",99,DL,6-5,302,27,8,USC,Giants,,
"
Rodarius Williams",25,CB,6-0,195,25,2,Oklahoma State,Giants,,
"
Oshane Ximines",53,LB,6-4,254,25,4,Old Dominion,Giants,,
"
Jack Anderson",76,C/G,6-4,314,23,2,Texas Tech,Eagles,,
"
J.J. Arcega-Whiteside",19,WR,6-2,225,25,4,Stanford,Eagles,,
"
Kayode Awosika",72,G/T,6-3,312,23,1,Buffalo,Eagles,,
"
Derek Barnett",96,DE,6-3,259,25,6,Tennessee,Eagles,,
"
Shaun Bradley",54,LB,6-1,240,25,3,Temple,Eagles,,
"
Deon Cain",85,WR,6-2,202,25,3,Clemson,Eagles,,
"
Andre Chachere",21,DB,6-0,200,26,2,San Jose State,Eagles,,
"
Le'Raven Clark",74,T,6-5,319,28,7,Texas Tech,Eagles,,
"
Fletcher Cox",91,DT,6-4,310,31,11,Mississippi State,Eagles,,
"
Landon Dickerson",69,OL,6-6,333,23,2,Alabama,Eagles,,
"
Andre Dillard",77,T,6-5,315,26,4,Washington State,Eagles,,
"
Jack Driscoll",63,T/G,6-5,312,25,3,Auburn,Eagles,,
"
T.J. Edwards",57,LB,6-1,242,25,4,Wisconsin,Eagles,,
"
Jake Elliott",4,K,5-9,167,27,6,Memphis,Eagles,,
"
Christian Elliss",53,LB,6-3,233,23,1,Idaho,Eagles,,
"
Marcus Epps",22,S,6-0,198,26,4,Wyoming,Eagles,,
"
Kenneth Gainwell",14,RB,5-9,200,23,2,Memphis,Eagles,,
"
Dallas Goedert",88,TE,6-5,256,27,5,South Dakota State,Eagles,,
"
Tay Gowan",36,CB,6-1,186,24,2,UCF,Eagles,,
"
Brandon Graham",55,DE,6-2,265,34,13,Michigan,Eagles,,
"
Javon Hargrave",97,DT,6-2,305,29,7,South Carolina State,Eagles,,
"
Anthony Harris",28,S,6-1,202,30,8,Virginia,Eagles,,
"
John Hightower",82,WR,6-2,190,25,2,Boise State,Eagles,,
"
Jason Huntley",32,RB,5-9,193,23,2,New Mexico State,Eagles,,
"
Jalen Hurts",1,QB,6-1,223,23,3,Oklahoma,Eagles,,
"
Tarron Jackson",75,DE,6-2,254,23,2,Coastal Carolina,Eagles,,
"
Tyree Jackson",80,TE,6-7,249,24,2,Buffalo,Eagles,,
"
Craig James",31,CB,5-10,195,25,3,Southern Illinois,Eagles,,
"
Lane Johnson",65,T,6-6,325,31,10,Oklahoma,Eagles,,
"
Patrick Johnson",48,LB,6-2,248,24,2,Tulane,Eagles,,
"
Jason Kelce",62,C,6-3,295,34,12,Cincinnati,Eagles,,
"
Matt Leo",66,DE,6-7,280,29,1,Iowa State,Eagles,,
"
Rick Lovato",45,LS,6-2,249,29,6,Old Dominion,Eagles,,
"
Avonte Maddox",29,CB,5-9,184,26,5,Pittsburgh,Eagles,,
"
Jordan Mailata",68,T,6-8,365,25,5,,Eagles,,
"
Cameron Malveaux",59,DE,6-5,276,27,2,Houston,Eagles,,
"
Jared Mayden",41,S,6-0,205,23,1,Alabama,Eagles,,
"
Mac McCain III",37,CB,6-0,175,24,2,North Carolina A&T,Eagles,,
"
Zech McPhearson",27,CB,5-11,191,24,2,Texas Tech,Eagles,,
"
Gardner Minshew",10,QB,6-1,225,25,4,Washington State,Eagles,,
"
Sua Opeta",78,G,6-4,305,25,3,Weber State,Eagles,,
"
Joe Ostman",,LB,6-3,259,26,3,Central Michigan,Eagles,,
"
Zach Pascal",11,WR,6-2,215,27,5,Old Dominion,Eagles,,
"
Jalen Reagor",18,WR,5-11,197,23,3,TCU,Eagles,,
"
Haason Reddick",7,LB,6-1,240,27,6,Temple,Eagles,,
"
Richard Rodgers",81,TE,6-4,257,30,7,California,Eagles,,
"
Miles Sanders",26,RB,5-11,211,24,4,Penn State,Eagles,,
"
Boston Scott",35,RB,5-6,203,26,4,Louisiana Tech,Eagles,,
"
Josiah Scott",33,CB,5-9,185,23,3,Michigan State,Eagles,,
"
Isaac Seumalo",56,G,6-4,303,28,7,Oregon State,Eagles,,
"
Reid Sinnett",7,QB,6-4,225,25,2,San Diego,Eagles,,
"
Arryn Siposs",8,P,6-2,212,29,2,Auburn,Eagles,,
"
Darius Slay",2,CB,6-0,190,31,10,Mississippi State,Eagles,,
"
DeVonta Smith",6,WR,6-0,170,23,2,Alabama,Eagles,,
"
JaCoby Stevens",30,LB,6-1,222,23,1,LSU,Eagles,,
"
Jack Stoll",89,TE,6-4,247,24,2,Nebraska,Eagles,,
"
Josh Sweat",94,DE,6-5,265,25,5,Florida State,Eagles,,
"
Davion Taylor",52,LB,6-1,230,23,3,Colorado,Eagles,,
"
Noah Togiai",83,TE,6-4,244,24,2,Oregon State,Eagles,,
"
Brett Toth",64,T/G,6-6,304,25,4,Army,Eagles,,
"
Marlon Tuipulotu",95,DT,6-2,307,22,2,USC,Eagles,,
"
Kary Vincent Jr.",34,DB,5-10,189,23,2,LSU,Eagles,,
"
K'Von Wallace",42,S,5-11,205,24,3,Clemson,Eagles,,
"
Greg Ward",84,WR,5-11,190,26,4,Houston,Eagles,,
"
Quez Watkins",16,WR,6-0,193,23,3,Southern Mississippi,Eagles,,
"
Kyzir White",,LB,6-2,225,26,5,West Virginia,Eagles,,
"
Milton Williams",93,DT,6-3,290,23,2,Louisiana Tech,Eagles,,
"
Marvin Wilson",73,DT,6-4,303,23,1,Florida State,Eagles,,
"
Renell Wren",,DT,6-5,320,26,3,Arizona State,Eagles,,
"
Nate Herbig",67,G,6-4,334,23,4,Stanford,Eagles,,
"
Jason Croom",81,TE,6-5,246,28,4,Tennessee,Eagles,,
"
Jordan Howard",24,RB,6-0,222,27,7,Indiana,Eagles,,
"
Ryan Kerrigan",90,DE,6-4,267,33,12,Purdue,Eagles,,
"
Rodney McLeod",23,S,5-10,195,31,11,Virginia,Eagles,,
"
Steven Nelson",3,CB,5-10,194,29,8,Oregon State,Eagles,,
Dee Alford,37,DB,5-11,175,24,1,Tusculum College,Falcons,,
"
Cornell Armstrong",25,DB,5-11,185,26,4,Southern Mississippi,Falcons,,
Corey Ballentine,39,DB,6-0,191,26,4,Washburn,Falcons,,
"
Willie Beavers",72,OL,6-5,324,28,2,Western Michigan,Falcons,,
"
Ryan Becker",80,TE,6-5,248,24,2,SMU,Falcons,,
"
Quinton Bell",56,OLB,6-4,253,25,2,Prairie View A&M,Falcons,,
"
Jordan Brailford",49,LB,6-3,252,26,3,Oklahoma State,Falcons,,
"
Beau Brinkley",44,LS,6-4,237,32,10,Missouri,Falcons,,
"
Damiere Byrd",XX,WR,5-9,175,29,7,South Carolina,Falcons,,
"
Lorenzo Carter",9,LB,6-5,252,26,5,Georgia,Falcons,,
"
John Cominsky",50,DL,6-5,285,26,4,Charleston (WV),Falcons,,
"
Rashaad Coward",65,DT,6-5,320,27,5,Old Dominion,Falcons,,
"
Drew Dalman",67,OL,6-3,300,23,2,Stanford,Falcons,,
"
Frank Darby",88,WR,6-1,200,24,2,Arizona State,Falcons,,
"
Marlon Davidson",90,DL,6-3,303,23,3,Auburn,Falcons,,
"
Mike Davis",28,RB,5-9,220,29,8,South Carolina,Falcons,,
"
Dorian Etheridge",48,ILB,6-3,230,23,2,Louisville,Falcons,,
"
Feleipe Franks",15,QB,6-6,234,24,2,Arkansas,Falcons,,
"
Colby Gossett",66,OL,6-5,311,26,3,Appalachian State,Falcons,,
"
Ta'Quon Graham",95,DL,6-4,294,23,2,Texas,Falcons,,
"
Richie Grant",27,S,6-0,200,24,2,UCF,Falcons,,
"
Darren Hall",34,CB,6-0,190,21,2,San Diego State,Falcons,,
"
Chad Hansen",83,WR,6-1,202,27,2,California,Falcons,,
"
Erik Harris",23,S,6-2,225,32,7,California (PA),Falcons,,
"
Jaylinn Hawkins",32,S,6-1,208,24,3,California,Falcons,,
"
Casey Hayward",29,CB,5-11,192,32,11,Vanderbilt,Falcons,,
Daniel Helm,85,TE,6-4,251,26,3,Duke,Falcons,,
"
Matt Hennessy",61,OL,6-3,307,24,3,Temple,Falcons,,
"
Parker Hesse",46,TE,6-3,261,26,2,Iowa,Falcons,,
"
KhaDarel Hodge",12,WR,5-11,183,27,5,Prairie View A&M,Falcons,,
"
Caleb Huntley",42,RB,5-10,229,23,1,Ball State,Falcons,,
"
Grady Jarrett",97,DL,6-0,305,28,8,Clemson,Falcons,,
"
Deion Jones",45,ILB,6-1,227,27,7,LSU,Falcons,,
"
Luther Kirk",33,DB,6-2,195,25,1,Illinois State,Falcons,,
"
Younghoe Koo",7,K,5-9,185,27,4,Georgia Southern,Falcons,,
Brayden Lenius,86,TE,6-5,220,25,1,Washington,Falcons,,
"
Rick Leonard",71,OL,6-7,311,25,1,Florida State,Falcons,,
"
Chris Lindstrom",63,G,6-3,307,25,4,Boston College,Falcons,,
"
Dom Maggio",1,P,6-1,192,23,1,Wake Forest,Falcons,,
"
Marcus Mariota",1,QB,6-4,222,28,8,Oregon,Falcons,,
"
Dean Marlowe",21,FS,6-1,205,29,6,James Madison,Falcons,,
"
Jake Matthews",70,T,6-5,309,30,9,Texas A&M,Falcons,,
"
Jalen Mayfield",77,OL,6-5,320,21,2,Michigan,Falcons,,
"
Kaleb McGary",76,T,6-6,306,27,4,Washington,Falcons,,
"
Ryan Neuzil",64,OL,6-3,301,24,1,Appalachian State,Falcons,,
"
Adetokunbo Ogundeji",92,OLB,6-4,268,23,2,Notre Dame,Falcons,,
"
Isaiah Oliver",26,CB,6-0,210,25,5,Colorado,Falcons,,
"
Qadree Ollison",30,RB,6-1,232,25,4,Pittsburgh,Falcons,,
"
Cordarrelle Patterson",84,RB,6-2,220,31,10,Tennessee,Falcons,,
"
Kyle Pitts",8,TE,6-6,246,21,2,Florida,Falcons,,
"
Lafayette Pitts",38,DB,5-10,196,29,4,Pittsburgh,Falcons,,
"
John Raine",89,TE,6-1,230,24,1,Northwestern,Falcons,,
"
Anthony Rush",94,DT,6-5,350,25,4,UAB,Falcons,,
"
Kendall Sheffield",20,DB,5-10,212,25,4,Ohio State,Falcons,,
"
Keith Smith",40,FB,6-0,240,30,9,San Jose State,Falcons,,
"
Rashad Smith",59,LB,6-1,220,24,2,Florida Atlantic,Falcons,,
"
Teez Tabor",30,CB,6-0,201,26,4,Florida,Falcons,,
"
Auden Tate",19,WR,6-5,228,25,5,Florida State,Falcons,,
"
A.J. Terrell",24,CB,6-1,195,23,3,Clemson,Falcons,,
"
Nick Thurman",91,DE,6-4,305,26,2,Houston,Falcons,,
"
Austin Trammell",82,WR,5-10,185,23,1,Rice,Falcons,,
"
James Vaughters",93,OLB,6-2,254,28,3,Stanford,Falcons,,
"
Mykal Walker",3,ILB,6-3,230,24,3,Fresno State,Falcons,,
"
Elijah Wilkinson",79,OT,6-4,329,27,6,UMass Amherst,Falcons,,
"
Avery Williams",35,CB,5-9,195,23,2,Boise State,Falcons,,
"
Damien Williams",6,RB,5-11,221,30,8,Oklahoma,Falcons,,
"
Calvin Ridley",18,WR,6-1,190,27,5,Alabama,Falcons,,
"
Olamide Zaccheaus",17,WR,5-8,193,24,4,Virginia,Falcons,,
"
Josh Adams",31,RB,6-2,225,25,4,Notre Dame,Saints,,
"
Paulson Adebo",29,CB,6-1,192,22,2,Stanford,Saints,,
"
Kawaan Baker",80,WR,6-1,215,23,1,South Alabama,Saints,,
"
Zack Baun",53,LB,6-3,225,25,3,Wisconsin,Saints,,
"
Ian Book",16,QB,6-0,206,24,2,Notre Dame,Saints,,
"
Cohl Cabral",68,C,6-5,300,24,1,Arizona State,Saints,,
"
Marquez Callaway",1,WR,6-2,204,24,3,Tennessee,Saints,,
"
Taco Charlton",54,DE,6-5,270,27,6,Michigan,Saints,,
"
Andy Dalton",91,QB,6-2,220,34,12,TCU,Saints,,
"
Jalen Dalton",77,DT,6-6,300,24,3,North Carolina,Saints,,
"
Marcus Davenport",92,DE,6-6,265,25,5,Texas-San Antonio,Saints,,
"
Demario Davis",56,LB,6-2,248,33,11,Arkansas State,Saints,,
"
Andrew Dowell",50,LB,6-1,225,25,2,Michigan State,Saints,,
"
Kaden Elliss",55,LB,6-3,238,26,4,Idaho,Saints,,
"
Justin Evans",30,S,6-0,199,26,5,Texas A&M,Saints,,
"
Sharif Finch",59,LB,6-4,250,26,3,Temple,Saints,,
"
C.J. Gardner-Johnson",22,DB,5-11,210,24,4,Florida,Saints,,
"
Blake Gillikin",4,P,6-2,196,24,3,Penn State,Saints,,
"
Carl Granderson",96,DE,6-5,261,25,4,Wyoming,Saints,,
"
J.T. Gray",48,DB,6-0,202,26,5,Mississippi State,Saints,,
"
Ethan Greenidge",73,OL,6-4,335,24,4,Villanova,Saints,,
"
Jerald Hawkins",63,OT,6-6,305,28,6,LSU,Saints,,
"
Taysom Hill",7,QB,6-2,221,31,6,Brigham Young,Saints,,
"
J.P. Holtz",88,TE,6-3,240,28,4,Pittsburgh,Saints,,
"
Braxton Hoyett",52,DT,6-2,302,26,1,Mississippi State,Saints,,
"
Albert Huggins",95,DT,6-3,305,24,2,Clemson,Saints,,
"
James Hurst",74,OL,6-5,310,30,9,North Carolina,Saints,,
"
Mark Ingram II",14,RB,5-9,215,32,12,Alabama,Saints,,
"
Jaleel Johnson",59,DT,6-3,316,27,6,Iowa,Saints,,
"
Juwan Johnson",83,TE,6-4,231,25,3,Oregon,Saints,,
"
Tony Jones Jr.",34,RB,5-11,224,24,2,Notre Dame,Saints,,
"
Cameron Jordan",94,DE,6-4,287,32,12,California,Saints,,
"
Alvin Kamara",41,RB,5-10,215,26,6,Tennessee,Saints,,
"
Tanoh Kpassagnon",90,DE,6-7,289,27,6,Villanova,Saints,,
"
Forrest Lamp",66,OL,6-4,310,28,5,Western Kentucky,Saints,,
"
Marshon Lattimore",23,CB,6-0,192,25,6,Ohio State,Saints,,
"
Wil Lutz",3,K,5-11,184,27,7,Georgia State,Saints,,
"
Dylan Mabin",37,DB,6-1,196,24,2,Fordham,Saints,,
"
Marcus Maye",,S,5-11,207,29,6,Florida,Saints,,
"
Jalen McCleskey",87,WR,5-10,178,24,1,Tulane,Saints,,
"
Erik McCoy",78,C/G,6-4,303,24,4,Texas A&M,Saints,,
"
Kirk Merritt",85,WR,6-0,208,25,1,Arkansas State,Saints,,
"
Jordan Miller",36,DB,6-2,190,25,3,Washington,Saints,,
"
David Onyemata",93,DT,6-4,300,29,7,Manitoba (Canada),Saints,,
"
Andrus Peat",75,G/T,6-7,316,28,8,Stanford,Saints,,
"
Adam Prentice",46,FB,6-0,245,25,2,South Carolina,Saints,,
"
Ryan Ramczyk",71,T,6-6,314,27,6,Wisconsin,Saints,,
"
Malcolm Roach",97,DL,6-3,290,23,3,Texas,Saints,,
"
Bradley Roby",21,CB,5-11,194,29,9,Ohio State,Saints,,
"
Cesar Ruiz",51,C/G,6-4,316,22,3,Michigan,Saints,,
"
KeiVarae Russell",35,DB,5-11,194,28,4,Notre Dame,Saints,,
"
Tre'Quan Smith",10,WR,6-2,210,26,5,Central Florida,Saints,,
"
Dylan Soehner",89,TE,6-6,270,24,2,Iowa State,Saints,,
"
Daniel Sorensen",28,DB,6-1,208,32,9,BYU,Saints,,
"
Kentavius Street",69,DT,6-2,287,25,4,N.C. State,Saints,,
"
Michael Thomas",13,WR,6-3,212,29,7,Ohio State,Saints,,
"
Bryce Thompson",32,CB,5-11,190,22,1,Tennessee,Saints,,
"
Calvin Throckmorton",76,OL,6-5,309,25,2,Oregon,Saints,,
"
Adam Trautman",82,TE,6-5,253,25,3,Dayton,Saints,,
"
Payton Turner",98,DE,6-6,270,23,2,Houston,Saints,,
"
Shy Tuttle",99,DT,6-3,300,26,4,Tennessee,Saints,,
"
Nick Vannett",81,TE,6-6,261,29,7,Ohio State,Saints,,
"
Pete Werner",20,LB,6-3,242,22,2,Ohio State,Saints,,
"
Kevin White",17,WR,6-3,216,29,6,West Virginia,Saints,,
"
P.J. Williams",26,CB,6-0,196,28,8,Florida State,Saints,,
"
Easop Winston Jr.",18,WR,6-0,192,25,1,Washington State,Saints,,
"
Jameis Winston",2,QB,6-4,231,28,8,Florida State,Saints,,
"
Ethan Wolf",86,TE,6-6,252,26,1,Tennessee,Saints,,
"
Zach Wood",49,LS,6-3,255,29,6,Southern Methodist,Saints,,
"
Landon Young",67,T,6-7,321,24,2,Kentucky,Saints,,
"
Deonte Harty",11,WR/RS,5-6,170,24,4,Assumption College,Saints,,
"
Lil'Jordan Humphrey",84,WR,6-4,225,23,3,Texas,Saints,,
"
Kwon Alexander",5,LB,6-1,227,27,8,LSU,Saints,,
"
Caleb Benenoch",65,OL,6-5,305,27,6,UCLA,Saints,,
"
James Carpenter",77,G,6-5,321,33,12,Alabama,Saints,,
"
Will Clapp",64,C,6-5,311,26,4,Louisiana State,Saints,,
"
Ken Crawley",25,CB,6-1,180,29,7,Colorado,Saints,,
"
Jeff Heath",38,S,6-1,212,30,10,Saginaw Valley State,Saints,,
"
Jalyn Holmes",57,DE,6-5,283,26,5,Ohio State,Saints,,
"
Jordan Mills",79,T,6-5,316,31,9,Louisiana Tech,Saints,,
"
Christian Ringo",70,DT,6-1,300,30,5,Louisiana-Lafayette,Saints,,
"
Kenny Stills",12,WR,6-1,202,29,10,Oklahoma,Saints,,
"
Dwayne Washington",24,RB,6-1,223,27,7,Washington,Saints,,
"
Robby Anderson",11,WR,6-3,190,28,7,Temple,Panthers,,
"
Bradley Bozeman",,C/G,6-5,325,27,5,Alabama,Panthers,,
"
Darius Bradwell",,RB,6-0,235,24,1,Tulane,Panthers,,
"
Deonte Brown",77,G,6-4,335,24,2,Alabama,Panthers,,
"
Derrick Brown",95,DT,6-5,320,23,3,Auburn,Panthers,,
"
Spencer Brown",33,RB,6-0,220,23,1,UAB,Panthers,,
"
Brian Burns",53,DE,6-5,250,23,4,Florida State,Panthers,,
"
Juston Burris",31,S,6-0,210,28,7,North Carolina State,Panthers,,
